,NCBI_IDs,NCBI_taxa,,,Symbol,Size,Color,Fill,Position,Label
128,5518,Fusarium_graminearum,Fusarium_graminearum|5518,Fusarium_graminearum|5518,Circle,10,#FF000,NA,1,NA
129,5530,Metarhizium_anisopliae,Metarhizium_anisopliae|5530,Metarhizium_anisopliae|5530,NA,NA,NA,NA,NA,NA
130,5544,Trichoderma_harzianum,Trichoderma_harzianum|5544,Trichoderma_harzianum|5544,NA,NA,NA,NA,NA,NA
131,5580,Aureobasidium_pullulans,Aureobasidium_pullulans|5580,Aureobasidium_pullulans|5580,NA,NA,NA,NA,NA,NA
132,5599,Alternaria_alternata,Alternaria_alternata|5599,Alternaria_alternata|5599,NA,NA,NA,NA,NA,NA
133,5627,Grifola_frondosa,Grifola_frondosa|5627,Grifola_frondosa|5627,NA,NA,NA,NA,NA,NA
134,5632,Lenzites_betulinus,Lenzites_betulinus|5632,Lenzites_betulinus|5632,NA,NA,NA,NA,NA,NA
135,5639,Polyporus_arcularius,Polyporus_arcularius|5639,Polyporus_arcularius|5639,NA,NA,NA,NA,NA,NA
136,9606,Homo_sapiens,Homo_sapiens|9606,Homo_sapiens|9606,Circle,10,#FF000,NA,1,NA
137,12916,Acidovorax,Acidovorax|12916,Acidovorax|12916,NA,NA,NA,NA,NA,NA
138,28090,Acinetobacter_lwoffii,Acinetobacter_lwoffii|28090,Acinetobacter_lwoffii|28090,NA,NA,NA,NA,NA,NA
139,28214,Sphingomonas_sp.,Sphingomonas_sp.|28214,Sphingomonas_sp.|28214,NA,NA,NA,NA,NA,NA
140,28447,Clavibacter_michiganensis,Clavibacter_michiganensis|28447,Clavibacter_michiganensis|28447,NA,NA,NA,NA,NA,NA
141,28564,Talaromyces_stipitatus,Talaromyces_stipitatus|28564,Talaromyces_stipitatus|28564,NA,NA,NA,NA,NA,NA
142,28566,Talaromyces_trachyspermus,Talaromyces_trachyspermus|28566,Talaromyces_trachyspermus|28566,NA,NA,NA,NA,NA,NA
143,28574,Talaromyces_minioluteus,Talaromyces_minioluteus|28574,Talaromyces_minioluteus|28574,NA,NA,NA,NA,NA,NA
144,28901,Salmonella_enterica,Salmonella_enterica|28901,Salmonella_enterica|28901,NA,NA,NA,NA,NA,NA
145,29314,Mycolicibacter_hiberniae,Mycolicibacter_hiberniae|29314,Mycolicibacter_hiberniae|29314,NA,NA,NA,NA,NA,NA
146,29317,Actinomyces_sp.,Actinomyces_sp.|29317,Actinomyces_sp.|29317,NA,NA,NA,NA,NA,NA
147,29387,Staphylococcus_sp.,Staphylococcus_sp.|29387,Staphylococcus_sp.|29387,NA,NA,NA,NA,NA,NA
148,29389,Streptococcus_alactolyticus,Streptococcus_alactolyticus|29389,Streptococcus_alactolyticus|29389,NA,NA,NA,NA,NA,NA
149,29447,Xanthomonas_albilineans,Xanthomonas_albilineans|29447,Xanthomonas_albilineans|29447,NA,NA,NA,NA,NA,NA
150,29466,Veillonella_parvula,Veillonella_parvula|29466,Veillonella_parvula|29466,NA,NA,NA,NA,NA,NA
151,29523,Bacteroides_sp.,Bacteroides_sp.|29523,Bacteroides_sp.|29523,Circle,10,#FF000,NA,1,NA
152,29856,Clonostachys_rosea,Clonostachys_rosea|29856,Clonostachys_rosea|29856,NA,NA,NA,NA,NA,NA
153,29886,Dacrymyces_chrysospermus,Dacrymyces_chrysospermus|29886,Dacrymyces_chrysospermus|29886,NA,NA,NA,NA,NA,NA
154,29916,Fusarium_sp.,Fusarium_sp.|29916,Fusarium_sp.|29916,NA,NA,NA,NA,NA,NA
155,29917,Cladosporium_cladosporioides,Cladosporium_cladosporioides|29917,Cladosporium_cladosporioides|29917,NA,NA,NA,NA,NA,NA
